[27-Jul-2017 01:30:10 CST6CDT] mail() on [/home/sanjur39/public_html/final-project-second-draft/php/contact_synergy.php:29]: To: isa.usu@aggiemail.usu.edu -- Headers: MIME-Version: 1.0  Content-type: text/html; charset=iso-8859-1  From: Indian Student Association USU  Reply-To: sraghuwanshi51@gmail.com
[27-Jul-2017 01:37:53 CST6CDT] mail() on [/home/sanjur39/public_html/final-project-second-draft/php/contact_synergy.php:29]: To: isa.usu@aggiemail.usu.edu -- Headers: MIME-Version: 1.0  Content-type: text/html; charset=iso-8859-1  From: Indian Student Association USU  Reply-To: sraghuwanshi51@gmail.com
[27-Jul-2017 02:08:44 CST6CDT] mail() on [/home/sanjur39/public_html/final-project-second-draft/php/contact_synergy.php:30]: To: isa.usu@aggiemail.usu.edu -- Headers: From: Indian Student Association USU  Reply-To: sraghuwanshi51@gmail.com  MIME-Version: 1.0  Content-type: text/html; charset=iso-8859-1
[27-Jul-2017 02:13:53 CST6CDT] mail() on [/home/sanjur39/public_html/final-project-second-draft/php/contact_synergy.php:30]: To: isa.usu@aggiemail.usu.edu -- Headers: From: Indian Student Association USU  Reply-To: sraghuwanshi51@gmail.com  MIME-Version: 1.0  Content-type: text/html; charset=iso-8859-1
[27-Jul-2017 02:20:07 CST6CDT] mail() on [/home/sanjur39/public_html/final-project-second-draft/php/contact_synergy.php:30]: To: isa.usu@aggiemail.usu.edu -- Headers: From: Indian Student Association USU  Reply-To: sraghuwanshi51@gmail.com  MIME-Version: 1.0  Content-type: text/html; charset=iso-8859-1
[27-Jul-2017 02:27:22 CST6CDT] mail() on [/home/sanjur39/public_html/final-project-second-draft/php/contact_synergy.php:30]: To: isa.usu@aggiemail.usu.edu -- Headers: From: Indian Student Association USU  Reply-To: sraghuwanshi51@gmail.com  MIME-Version: 1.0  Content-type: text/html; charset=iso-8859-1
[27-Jul-2017 02:27:22 CST6CDT] mail() on [/home/sanjur39/public_html/final-project-second-draft/php/contact_synergy.php:31]: To: isa.usu@aggiemail.usu.edu -- Headers: From: Indian Student Association USU  Reply-To: sraghuwanshi51@gmail.com  MIME-Version: 1.0  Content-type: text/html; charset=iso-8859-1
[27-Jul-2017 02:31:46 CST6CDT] mail() on [/home/sanjur39/public_html/final-project-second-draft/php/contact_synergy.php:29]: To: isa.usu@aggiemail.usu.edu -- Headers: From: Indian Student Association Website   Reply-To: sraghuwanshi51@gmail.com  MIME-Version: 1.0  Content-type: text/html; charset=iso-8859-1
[27-Jul-2017 02:31:46 CST6CDT] mail() on [/home/sanjur39/public_html/final-project-second-draft/php/contact_synergy.php:30]: To: isa.usu@aggiemail.usu.edu -- Headers: From: Indian Student Association Website   Reply-To: sraghuwanshi51@gmail.com  MIME-Version: 1.0  Content-type: text/html; charset=iso-8859-1
[27-Jul-2017 02:44:17 CST6CDT] mail() on [/home/sanjur39/public_html/final-project-second-draft/php/contact_synergy.php:29]: To: isa.usu@aggiemail.usu.edu -- Headers: MIME-Version: 1.0  Content-type: text/html; charset=iso-8859-1  From:  Indian Student Association Website   Reply-To:sraghuwanshi51@gmail.com  X-Mailer: PHP/7.0.21
[27-Jul-2017 02:44:18 CST6CDT] mail() on [/home/sanjur39/public_html/final-project-second-draft/php/contact_synergy.php:30]: To: isa.usu@aggiemail.usu.edu -- Headers: MIME-Version: 1.0  Content-type: text/html; charset=iso-8859-1  From:  Indian Student Association Website   Reply-To:sraghuwanshi51@gmail.com  X-Mailer: PHP/7.0.21
[27-Jul-2017 02:47:38 CST6CDT] mail() on [/home/sanjur39/public_html/final-project-second-draft/php/contact_synergy.php:29]: To: isa.usu@aggiemail.usu.edu -- Headers: MIME-Version: 1.0  Content-type: text/html; charset=iso-8859-1  From:  Indian Student Association Website<sraghuwanshi51@gmail.com>   Reply-To:sraghuwanshi51@gmail.com  X-Mailer: PHP/7.0.21
[27-Jul-2017 02:47:43 CST6CDT] mail() on [/home/sanjur39/public_html/final-project-second-draft/php/contact_synergy.php:30]: To: isa.usu@aggiemail.usu.edu -- Headers: MIME-Version: 1.0  Content-type: text/html; charset=iso-8859-1  From:  Indian Student Association Website<sraghuwanshi51@gmail.com>   Reply-To:sraghuwanshi51@gmail.com  X-Mailer: PHP/7.0.21
[27-Jul-2017 02:50:40 CST6CDT] mail() on [/home/sanjur39/public_html/final-project-second-draft/php/contact_synergy.php:29]: To: isa.usu@aggiemail.usu.edu -- Headers: MIME-Version: 1.0  Content-type: text/html; charset=iso-8859-1  From:  SanjuRaghuwanshi<sanjuraghuwanshi2015@gmail.com>   Reply-To:sanjuraghuwanshi2015@gmail.com  X-Mailer: PHP/7.0.21
[27-Jul-2017 02:50:44 CST6CDT] mail() on [/home/sanjur39/public_html/final-project-second-draft/php/contact_synergy.php:30]: To: isa.usu@aggiemail.usu.edu -- Headers: MIME-Version: 1.0  Content-type: text/html; charset=iso-8859-1  From:  SanjuRaghuwanshi<sanjuraghuwanshi2015@gmail.com>   Reply-To:sanjuraghuwanshi2015@gmail.com  X-Mailer: PHP/7.0.21
[27-Jul-2017 02:54:14 CST6CDT] mail() on [/home/sanjur39/public_html/final-project-second-draft/php/contact_synergy.php:27]: To: isa.usu@aggiemail.usu.edu -- Headers: MIME-Version: 1.0  Content-type: text/html; charset=iso-8859-1  From:  SanjuRaghuwanshi<sraghuwanshi51@gmail.com>   Reply-To:sraghuwanshi51@gmail.com  X-Mailer: PHP/7.0.21
[27-Jul-2017 02:54:19 CST6CDT] mail() on [/home/sanjur39/public_html/final-project-second-draft/php/contact_synergy.php:28]: To: isa.usu@aggiemail.usu.edu -- Headers: MIME-Version: 1.0  Content-type: text/html; charset=iso-8859-1  From:  SanjuRaghuwanshi<sraghuwanshi51@gmail.com>   Reply-To:sraghuwanshi51@gmail.com  X-Mailer: PHP/7.0.21
[27-Jul-2017 02:57:32 CST6CDT] mail() on [/home/sanjur39/public_html/final-project-second-draft/php/contact_synergy.php:27]: To: isa.usu@aggiemail.usu.edu -- Headers: MIME-Version: 1.0  Content-type: text/html; charset=iso-8859-1  From:  RahulRaghuwanshi<sraghuwanshi51@gmail.com>   Reply-To:sraghuwanshi51@gmail.com  X-Mailer: PHP/7.0.21
[27-Jul-2017 03:03:14 CST6CDT] mail() on [/home/sanjur39/public_html/final-project-second-draft/php/contact_synergy.php:27]: To: isa.usu@aggiemail.usu.edu -- Headers: MIME-Version: 1.0  Content-type: text/html; charset=iso-8859-1  From:  Snjuaikdfgea<sraghuwanshi51@gmail.com>   Reply-To:sraghuwanshi51@gmail.com  X-Mailer: PHP/7.0.21
